REGION,NAME_0,EXP_BUILDINGS,EXP_COST_TOTAL,EXP_OCCUPANTS_TOTAL,EXP_OCCUPANTS_AVG,AAL_BUILDINGS,AAL_TOTAL,AAL_FATALITIES,AAL_PEOPLE_DISPLACED,AALR_BUILDINGS,AALR_TOTAL,AALR_FATALITIES,AALR_PEOPLE_DISPLACED
Africa,Algeria,7880753,3.37153E+11,47435000,38508390,6312.1,304784000,674.676,49635.4,0.000800951,0.000903991,1.75E-05,0.00104639
Africa,Angola,9297733.8,1.62768E+11,39040000,30858586,49.8651,1095130,1.23664,251.784,5.36E-06,6.73E-06,4.01E-08,6.45E-06
Africa,Benin,2978995.3,42711954000,14814400,11837436,8.67292,184657,0.3071,56.3521,2.91E-06,4.32E-06,2.59E-08,3.80E-06
Africa,Botswana,676843.67,24372241000,2562100,2047669.6,2.69918,110925,0.0575284,12.6068,3.99E-06,4.55E-06,2.81E-08,4.92E-06
Africa,Burundi,2887017.7,30774077600,14390000,11589644.7,653.148,10521900,30.0399,4454.06,0.000226237,0.000341907,2.59E-06,0.000309526
Africa,Cabo Verde,153973.2,3030759100,527318,423529.3,0.365809,10942.9,0.0128769,2.10673,2.38E-06,3.61E-06,3.04E-08,4.00E-06
Africa,Cameroon,6044217.6,1.37198E+11,29879300,23640776,11.2935,309709,0.302179,69.5084,1.87E-06,2.26E-06,1.28E-08,2.33E-06
Africa,Central African Republic,1116130.9,9494900400,5513240,4511199.4,4.28669,44345,0.140282,26.3246,3.84E-06,4.67E-06,3.11E-08,4.77E-06
Africa,Comoros,210729.61,3717838000,882847,707709.6,9.13199,253172,0.20492,50.7604,4.33E-05,6.81E-05,2.90E-07,5.75E-05
Africa,Congo,1817467.8,33760396000,6484410,5170857.7,12.6554,296637,0.177498,33.0925,6.96E-06,8.79E-06,3.43E-08,5.10E-06
Africa,Democratic Republic of the Congo,23326945,3.11851E+11,112832000,91333019,1958.53,35224000,71.7591,12455.2,8.40E-05,0.000112952,7.86E-07,0.000110387
Africa,Djibouti,197706.83,2385326300,1184080,968431,84.4042,1974640,3.38333,732.661,0.000426915,0.000827827,3.49E-06,0.000618762
Africa,Egypt,28844784,6.96083E+11,118366000,95702900,3171.03,81801100,232.43,16839,0.000109934,0.000117516,2.43E-06,0.000142262
Africa,Equatorial Guinea,313788.41,7312603000,1938420,1539191.8,1.10572,27702.3,0.0445664,8.33253,3.52E-06,3.79E-06,2.90E-08,4.30E-06
Africa,Eritrea,849560.64,13092101000,3606980,2838919.6,113.024,2537270,2.04693,682.019,0.000133038,0.000193802,7.21E-07,0.000189083
Africa,Eswatini,350333.27,8607893100,1256170,1025864.4,0.901189,42248,0.0163549,4.57932,2.57E-06,4.91E-06,1.59E-08,3.65E-06
Africa,Ethiopia,32631795,3.78322E+11,135472000,108840711,1570.47,28221100,30.691,8364.72,4.81E-05,7.46E-05,2.82E-07,6.17E-05
Africa,Gabon,690212.06,14541691600,2593100,2078767.6,1.17248,29394.3,0.0275645,5.00883,1.70E-06,2.02E-06,1.33E-08,1.93E-06
Africa,Gambia,361309.12,9206154000,2822070,2276104.2,0.111424,4846.56,0.00514185,1.32791,3.08E-07,5.26E-07,2.26E-09,4.71E-07
Africa,Ghana,9358357,2.83559E+11,35064200,27704179,231.169,8885560,5.45196,1106,2.47E-05,3.13E-05,1.97E-07,3.15E-05
Africa,Guinea,2430268.3,57511293000,15099700,12194059,17.4535,493011,0.817321,137.139,7.18E-06,8.57E-06,6.70E-08,9.08E-06
Africa,Guinea Bissau,273441.89,6185792700,2249500,1795482.9,2.93258,89234.3,0.1625,30.054,1.07E-05,1.44E-05,9.05E-08,1.34E-05
Africa,Ivory Coast,6344328.4,97425124000,32711500,26063669,7.23528,151061,0.245145,47.2741,1.14E-06,1.55E-06,9.41E-09,1.45E-06
Africa,Kenya,17383055.4,2.93453E+11,57532300,46202884,680.539,15272800,15.1019,3001.33,3.91E-05,5.20E-05,3.27E-07,5.22E-05
Africa,Lesotho,612101.19,8340494500,2363310,1887834.8,7.61848,137545,0.117451,39.5482,1.24E-05,1.65E-05,6.22E-08,1.67E-05
Africa,Liberia,1139652.53,15943318000,5731180,4503201.4,7.60466,164200,0.212269,46.9526,6.67E-06,1.03E-05,4.71E-08,8.19E-06
Africa,Libya,1277070,59701510000,7458440,6034419,58.4997,2604200,5.03324,411.513,4.58E-05,4.36E-05,8.34E-07,5.52E-05
Africa,Madagascar,7547479.7,1.26869E+11,32740600,26220639,110.631,2823790,2.70692,634.039,1.47E-05,2.23E-05,1.03E-07,1.94E-05
Africa,Malawi,4779698.3,72822106000,22216100,17498449,1195.2,26631400,40.6169,7549.87,0.000250057,0.000365704,2.32E-06,0.000339838
Africa,Mali,4150665,38573362000,25198800,20251509,4.71344,53982.7,0.239945,38.1195,1.14E-06,1.40E-06,1.18E-08,1.51E-06
Africa,Mauritania,1327946.5,21680545000,5315030,4328464.2,2.94025,54627.5,0.0672624,14.9272,2.21E-06,2.52E-06,1.55E-08,2.81E-06
Africa,Mauritius,354799.19,10333674000,1268280,1016499.9,0.686709,26003.5,0.012982,3.36331,1.94E-06,2.52E-06,1.28E-08,2.65E-06
Africa,Morocco,8258375,2.27103E+11,36736900,27698010,1627.01,52301900,89.7401,9477.28,0.000197013,0.0002303,3.24E-06,0.000257977
Africa,Mozambique,7782704.6,1.27002E+11,35631600,28355626,450.713,11752200,16.1243,2863.74,5.79E-05,9.25E-05,5.69E-07,8.04E-05
Africa,Namibia,721293.53,16729844000,3092790,2496046.5,2.76309,91678.1,0.0582503,14.8031,3.83E-06,5.48E-06,2.33E-08,4.79E-06
Africa,Nigeria,50308588,1.20745E+12,237528000,189176800,24.3264,794513,0.693684,145.443,4.84E-07,6.58E-07,3.67E-09,6.12E-07
Africa,Rwanda,3692287.1,60496670000,14569300,11470045,634.04,16700300,20.1295,3388.67,0.00017172,0.000276052,1.75E-06,0.000232589
Africa,Sao Tome and Principe,58451.166,1033269080,240254,197414.63,0.0313286,911.429,0.00120231,0.190626,5.36E-07,8.82E-07,6.09E-09,7.93E-07
Africa,Senegal,2104597.5,64309137000,18931900,15280590,1.37051,56083.5,0.0770081,15.8506,6.51E-07,8.72E-07,5.04E-09,8.37E-07
