REGION,NAME_0,EXP_BUILDINGS,EXP_COST_TOTAL,EXP_OCCUPANTS_TOTAL,AAL_TOTAL,AAL_FATALITIES,AAL_BUILDINGS,AAL_PEOPLE_DISPLACED,AAL_EMBODIED_CARBON
Africa,Algeria,7880760.0,402460000000.0,47435000.0,282292000.0,397.254,5646.41,38027.1,266102.0
Africa,Angola,9297730.0,216728000000.0,39040000.0,708141.0,0.538848,30.9779,143.253,717.959
Africa,Benin,2979000.0,52661200000.0,14814400.0,81545.6,0.0905215,4.287,24.9438,60.7443
Africa,Botswana,676844.0,22216900000.0,2562110.0,27663.9,0.0107931,0.746715,3.3775,33.5529
Africa,Burundi,2887010.0,17623300000.0,14390000.0,2241240.0,9.99155,310.918,1920.58,2634.26
Africa,Cabo Verde,153973.0,5618170000.0,527318.0,1109.99,0.000299534,0.0203853,0.101906,0.882176
Africa,Cameroon,6044220.0,143823000000.0,29879300.0,179557.0,0.111528,5.75192,32.8919,170.036
Africa,Central African Republic,1116130.0,16015200000.0,5513240.0,42262.2,0.0748568,2.93084,17.2284,34.0325
Africa,Comoros,210730.0,5968810000.0,882847.0,240.419,2.06926e-06,9.60896e-05,0.000842067,0.025911
Africa,Congo,1817470.0,34683500000.0,6484410.0,145717.0,0.0927461,7.59611,22.7844,109.402
Africa,Democratic Republic of the Congo,23326900.0,264841000000.0,112832000.0,13800400.0,26.8799,1117.3,6544.89,14167.6
Africa,Djibouti,197707.0,5171820000.0,1184080.0,1313380.0,0.770163,28.649,228.883,537.842
Africa,Egypt,28844800.0,914778000000.0,118366000.0,71261600.0,142.355,2877.19,13057.7,83703.9
Africa,Equatorial Guinea,313788.0,10180400000.0,1938400.0,13987.4,0.01271,0.433638,3.33022,18.3561
Africa,Eritrea,849561.0,24939800000.0,3606980.0,1582380.0,0.290967,38.4848,214.763,1022.54
Africa,Eswatini,350333.0,8365040000.0,1256170.0,7606.78,0.00131591,0.223044,0.975052,6.15729
Africa,Ethiopia,32631800.0,265441000000.0,135472000.0,12160700.0,8.67982,1139.34,5549.68,7906.8
Africa,Gabon,690212.0,19119600000.0,2593100.0,23321.8,0.013471,0.842698,3.2089,29.1747
Africa,Gambia,361309.0,8798560000.0,2822070.0,7420.08,0.00898965,0.304984,2.78154,8.1923
Africa,Ghana,9358360.0,150330000000.0,35064200.0,1969240.0,1.4758,103.454,454.815,3242.63
Africa,Guinea,2430220.0,34826400000.0,15099700.0,242147.0,0.606944,17.9544,129.485,175.082
Africa,Guinea Bissau,273442.0,5511780000.0,2249500.0,37990.1,0.0668933,1.82792,17.7238,24.3238
Africa,Ivory Coast,6344330.0,123120000000.0,32711500.0,111978.0,0.131638,5.7918,35.0268,74.9883
Africa,Kenya,17383100.0,265020000000.0,57532300.0,6225300.0,5.15191,356.187,1449.4,4729.5
Africa,Lesotho,612102.0,13375100000.0,2363310.0,49062.7,0.0120833,1.60085,7.97248,48.0946
Africa,Liberia,1139650.0,31064700000.0,5731180.0,140339.0,0.0576717,4.8082,28.2247,65.8196
Africa,Libya,1277070.0,34667600000.0,7458440.0,1237840.0,3.42688,55.6847,341.167,2424.12
Africa,Madagascar,7547480.0,108436000000.0,32740600.0,1012970.0,0.873854,57.5001,305.418,959.174
Africa,Malawi,4779700.0,43098600000.0,22216100.0,4749840.0,11.6342,494.936,2845.99,7499.83
Africa,Mali,3328550.0,39433400000.0,19617100.0,37132.1,0.124201,3.01706,22.7284,28.0803
Africa,Mauritania,1327950.0,37040000000.0,5315030.0,55419.6,0.0268935,1.75179,8.63625,58.3591
Africa,Mauritius,354798.0,15631900000.0,1268220.0,12.7937,5.23864e-07,7.60999e-05,0.000391748,0.00350805
Africa,Morocco,8916430.0,323145000000.0,38430700.0,48616100.0,54.4477,1398.53,6382.95,47106.5
Africa,Mozambique,7782700.0,135830000000.0,35631600.0,5234000.0,5.29805,245.17,1407.44,4068.62
Africa,Namibia,721294.0,22442800000.0,3092790.0,72379.6,0.0151985,1.73915,8.63736,40.4412
Africa,Nigeria,50308600.0,978579000000.0,237528000.0,352287.0,0.334105,16.2993,92.0293,304.426
Africa,Rwanda,3692290.0,33730400000.0,14569300.0,3919130.0,7.08937,389.019,1869.85,3470.25
Africa,Sao Tome and Principe,55220.4,1774000000.0,222943.0,8.72569,,6.98688e-06,6.35878e-05,0.00147067
Africa,Senegal,2104600.0,54692500000.0,18931900.0,12542.3,0.0139919,0.415547,4.45172,16.6979
Africa,Sierra Leone,1569030.0,23662600000.0,8819780.0,60250.3,0.0952639,4.07737,27.8413,60.5465
Africa,Somalia,3338390.0,49404700000.0,19654700.0,193616.0,0.111185,8.19041,60.1506,121.069
Africa,South Africa,20114700.0,901724000000.0,64747200.0,14526200.0,1.99995,222.371,885.935,11643.6
Africa,South Sudan,2255210.0,43795400000.0,12188700.0,1650520.0,0.92821,68.8488,369.463,1008.24
Africa,Sudan,9247620.0,163721000000.0,51662100.0,1871.78,0.00021493,0.00539676,0.0551318,0.751497
Africa,Tanzania,15080200.0,291591000000.0,70545800.0,19796200.0,17.5267,963.056,5399.25,18557.4
Africa,Togo,2171830.0,34985300000.0,9721600.0,259403.0,0.311176,15.5647,82.7561,176.562
Africa,Tunisia,3109180.0,114086000000.0,12348600.0,21502100.0,27.6411,596.88,2652.68,19618.4
Africa,Uganda,11840000.0,186604000000.0,51384800.0,14455600.0,16.3818,851.433,4282.21,9525.52
Africa,Zambia,4264780.0,72954900000.0,21913800.0,2365460.0,3.75286,147.136,904.34,3033.99
Africa,Zimbabwe,4482160.0,85185400000.0,16950600.0,708425.0,0.609784,37.3791,164.332,634.695
Caribbean Central America,Anguilla,5509.72,1936020000.0,13279.9,663518.0,0.0107107,1.03468,3.76419,176.998
Caribbean Central America,Antigua and Barbuda,32042.2,10689500000.0,94209.0,9237760.0,0.080793,13.6398,48.3112,1674.48
Caribbean Central America,Aruba,25394.3,18721100000.0,108147.0,27303.6,1.65887e-05,0.00378915,0.0208311,1.81449
Caribbean Central America,Bahamas,200075.0,174460000000.0,677950.0,6099.19,8.11897e-06,0.00370235,0.00591411,0.807489
Caribbean Central America,Barbados,109857.0,22786400000.0,282621.0,19938200.0,0.695812,84.5332,252.366,5511.05
Caribbean Central America,Belize,66354.4,8171960000.0,422924.0,70107.0,0.00596334,0.301301,2.8817,30.4441
Caribbean Central America,British Virgin Islands,11976.6,17773800000.0,46318.0,8854860.0,0.0265737,3.54536,16.9803,1064.05
Caribbean Central America,Cayman Islands,15791.1,39691200000.0,75844.0,1765030.0,0.00255384,0.184074,1.32326,256.152
Caribbean Central America,Costa Rica,1572070.0,162216000000.0,5144900.0,79943200.0,2.27855,431.694,1601.38,25032.9
Caribbean Central America,Cuba,3431830.0,134686000000.0,10937200.0,7477330.0,2.73949,146.162,556.833,7637.58
Caribbean Central America,Dominica,21369.5,4950210000.0,65871.0,2770970.0,0.0523574,8.99487,33.2342,1023.68
Caribbean Central America,Dominican Republic,3396730.0,436119000000.0,11520500.0,383403000.0,24.0941,2785.0,9922.74,164785.0
Caribbean Central America,El Salvador,2468490.0,243172000000.0,5855040.0,221292000.0,22.3551,1403.81,4713.46,115796.0
Caribbean Central America,Grenada,40878.0,11994100000.0,117303.0,5590380.0,0.0801498,14.1389,49.5222,2256.55
Caribbean Central America,Guadeloupe,154178.0,75195900000.0,373791.0,60970600.0,0.509137,84.6625,251.532,10816.5
Caribbean Central America,Guatemala,5042870.0,318732000000.0,18680100.0,338328000.0,232.696,6204.5,26391.7,258619.0
Caribbean Central America,Haiti,2860450.0,86324900000.0,11906100.0,87330200.0,109.928,2485.33,12305.3,37336.0
Caribbean Central America,Honduras,4498690.0,287335000000.0,19592900.0,29668200.0,60.7558,803.267,4136.43,14499.3
Caribbean Central America,Jamaica,1017660.0,104310000000.0,2837080.0,30760600.0,2.30585,210.803,717.525,11366.1
Caribbean Central America,Martinique,112493.0,57246600000.0,340439.0,41775500.0,0.405233,54.8516,202.67,7126.79
Caribbean Central America,Montserrat,8868.66,2174320000.0,4359.0,1055350.0,0.00209971,2.87219,1.47383,381.787
Caribbean Central America,Nicaragua,1533970.0,60923900000.0,6689830.0,58925300.0,21.3935,1230.74,6435.55,33977.0
Caribbean Central America,Panama,2000510.0,302246000000.0,8013100.0,39265000.0,4.02138,223.857,1055.66,16208.9
Caribbean Central America,Puerto Rico,2217620.0,1241510000000.0,4989650.0,1118290000.0,20.5834,970.587,3763.43,162369.0
Caribbean Central America,Saint Kitts and Nevis,18116.0,6795580000.0,46921.9,2717160.0,0.0289949,4.80499,15.8849,816.747
Caribbean Central America,Saint Lucia,58654.0,15102300000.0,180149.0,11747100.0,0.20563,35.0348,126.908,4140.33
Caribbean Central America,Saint Vincent and the Grenadines,33768.3,8367780000.0,99924.0,4637850.0,0.0778496,11.7602,43.4424,1643.0
Caribbean Central America,Trinidad and Tobago,437265.0,49786800000.0,1511160.0,51177500.0,5.51396,436.757,1765.73,20063.3
Caribbean Central America,Turks and Caicos Islands,68693.1,41144900000.0,39564.7,29930.8,1.38203e-05,0.010391,0.00871037,4.11578
Caribbean Central America,US Virgin Islands,42348.5,30762600000.0,72150.5,16098300.0,0.194889,13.7701,37.2117,2728.49
Central Asia,Kazakhstan,2951240.0,286445000000.0,20843700.0,16255200.0,20.5074,336.521,1638.8,16657.7
Central Asia,Kyrgyzstan,943364.0,52335200000.0,7279150.0,31582000.0,23.2053,654.025,5622.44,33230.1
Central Asia,Tajikistan,1464100.0,40978800000.0,10499000.0,25269700.0,29.1141,956.581,7914.24,31601.6
Central Asia,Turkmenistan,675685.0,46486200000.0,7618810.0,4045270.0,8.89744,101.216,745.585,5895.87
Central Asia,Uzbekistan,5805600.0,375979000000.0,37053400.0,146186000.0,168.614,2736.91,18047.5,121146.0
East Asia,China,243991000.0,41535300000000.0,1416090000.0,3229150000.0,827.642,12859.0,120688.0,2157290.0
East Asia,Hong Kong,41731.8,1485750000000.0,7046100.0,1865680.0,0.00540362,0.0184292,2.08077,206.785
East Asia,Japan,37546600.0,18903400000000.0,123101000.0,14717600000.0,61.5035,7891.37,24175.7,3254230.0
East Asia,Macao,5033.65,137654000000.0,638590.0,29587.2,3.53372e-05,2.96392e-05,0.00829951,8.0774
East Asia,North Korea,2799880.0,128807000000.0,26571000.0,7933660.0,6.92971,146.329,1599.17,13165.3
East Asia,South Korea,8723630.0,3831010000000.0,51666900.0,292436000.0,14.7374,929.054,3272.63,94906.2
East Asia,Taiwan,3999300.0,2104100000000.0,23112600.0,2512650000.0,45.3489,3556.2,21762.4,657777.0
Europe,Albania,701177.0,40528400000.0,2665340.0,46293000.0,12.5191,820.271,3137.8,32328.9
Europe,Andorra,21201.7,9757450000.0,82903.6,180274.0,0.00295857,0.255247,1.24539,29.6032
Europe,Austria,2785570.0,1510080000000.0,11531800.0,119784000.0,3.8995,279.79,843.284,20596.9
Europe,Belarus,2106060.0,215294000000.0,8997600.0,46067.0,0.00635979,0.612284,1.68704,30.1425
Europe,Belgium,4138910.0,1355860000000.0,11758200.0,32697200.0,1.41154,137.046,344.477,6358.0
Europe,Bosnia and Herzegovina,1209040.0,68193000000.0,3140090.0,16330300.0,4.95083,332.669,871.5,13943.7
Europe,Bulgaria,2334340.0,329964000000.0,6714500.0,131899000.0,20.9804,1097.51,3422.64,63803.1
Europe,Croatia,1842220.0,260878000000.0,3848150.0,103034000.0,7.80732,736.249,1660.18,29590.0
Europe,Cyprus,306426.0,115816000000.0,910340.0,100072000.0,2.96715,270.989,830.854,24533.6
Europe,Czechia,2571640.0,760971000000.0,10609200.0,1061160.0,0.0455137,4.29592,9.71232,249.297
Europe,Denmark,1793540.0,1197590000000.0,6002500.0,655897.0,0.0129179,1.3441,3.16136,81.5323
Europe,Estonia,268609.0,102749000000.0,1344230.0,305607.0,0.0168695,0.74859,4.16412,79.0125
